timestamp,json_path,year,full_article_id,block_id,manual_label
2026-02-09T21:14:07.132Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1916/faro_1916/1916-08-26_p1_sn86072054_0041566039A_1916082601_0890.json,1916,8,7,OTHER
2026-02-09T21:15:49.608Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1915/faro_1915/1915-11-12_p2_sn86091128_00415666263_1915111201_0366.json,1915,8,7,ART
2026-02-09T21:16:09.636Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1915/faro_1915/1915-08-24_p11_sn85042354_00383343094_1915082401_1018.json,1915,53,52,ART
2026-02-09T21:16:21.595Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1913/faro_1913/1913-03-29_p6_sn88084272_0029455354A_1913032901_0049.json,1913,9,8,OTHER
2026-02-09T21:16:41.244Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1842/faro_1842/1842-09-25_p4_sn83030313_00271743166_1842092501_0363.json,1842,4,3,ART
2026-02-09T21:17:22.320Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1907/faro_1907/1907-01-10_p5_sn86069457_00206533572_1907011002_0021.json,1907,8,7,ART
2026-02-09T21:17:47.066Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1842/faro_1842/1842-09-25_p4_sn83030313_00271743166_1842092501_0363.json,1842,4,3,ADS_REPRO
2026-02-09T21:21:10.821Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1843/faro_1843/1843-01-19_p3_sn83030313_00271743178_1843011901_0092.json,1843,44,43,ADS_REPRO
2026-02-09T21:28:11.342Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1854/faro_1854/1854-02-11_p1_sn82014869_0027955727A_1854021101_0060.json,1854,6,5,OTHER
2026-02-09T22:07:58.374Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1855/faro_1855/1855-12-03_p4_sn85042002_00415660996_1855120301_1311.json,1855,1,0,ADS_REPRO
2026-02-10T07:53:24.588Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1864/faro_1864/1864-07-06_p1_sn85025182_00212477898_1864070601_0010.json,1864,10,9,ADS_REPRO
2026-02-10T07:53:37.864Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1866/faro_1866/1866-12-07_p1_sn84038628_00295879919_1866120701_0398.json,1866,12,11,ADS_REPRO
2026-02-10T07:54:10.808Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1866/faro_1866/1866-01-19_p1_sn84022046_00279554231_1866011901_0070.json,1866,25,24,ADS_REPRO
2026-02-10T07:55:07.454Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1880/faro_1880/1880-08-19_p1_sn86053402_00280779283_1880081901_0807.json,1880,8,7,OTHER
2026-02-10T07:55:13.258Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1880/faro_1880/1880-08-19_p1_sn86053402_00280779283_1880081901_0807.json,1880,8,7,OTHER
2026-02-10T07:55:28.404Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1898/faro_1898/1898-12-07_p3_sn85033781_00296023826_1898120701_0347.json,1898,11,10,OTHER
2026-02-10T07:55:49.739Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1912/faro_1912/1912-06-27_p2_sn89058216_00415622041_1912062701_0550.json,1912,2,1,OTHER
2026-02-10T07:56:05.505Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1920/faro_1920/1920-10-21_p1_sn86090233_00199917560_1920102101_0654.json,1920,29,28,OTHER
2026-02-10T07:56:25.371Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1921/faro_1921/1921-07-17_p56_sn83030214_0020653266A_1921071701_0468.json,1921,3,2,OTHER
2026-02-10T09:37:45.234Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1856/faro_1856/1856-10-09_p2_sn83021205_00517171931_1856100901_0818.json,1856,70,69,ADS_REPRO
2026-02-10T09:44:34.741Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1914/faro_1914/1914-02-06_p2_sn85053090_00295861095_1914020601_0788.json,1914,1,0,OTHER
2026-02-10T09:46:52.575Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1909/faro_1909/1909-02-20_p1_sn89051168_00393343278_1909022001_0463.json,1909,7,6,OTHER
2026-02-10T09:52:57.414Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1904/faro_1904/1904-05-03_p4_sn85038485_00340583541_1904050301_0039.json,1904,9,8,ART
2026-02-10T10:02:14.848Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1882/faro_1882/1882-11-02_p4_sn83008556_00296028526_1882110201_0574.json,1882,59,58,OTHER
2026-02-10T10:06:19.179Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1872/faro_1872/1872-03-30_p2_sn92053941_00295873590_1872033001_0624.json,1872,27,26,ADS_REPRO
2026-02-10T10:21:43.707Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1865/faro_1865/1865-06-13_p4_sn85026002_00280775071_1865061301_0144.json,1865,6,5,ADS_REPRO
2026-02-10T10:24:55.903Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1860/faro_1860/1860-09-27_p2_sn84020071_00414182999_1860092701_0538.json,1860,4,3,OTHER
2026-02-10T10:26:26.767Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1862/faro_1862/1862-12-16_p1_sn83021205_00517172157_1862121601_1185.json,1862,35,34,OTHER
2026-02-10T10:31:37.349Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1862/faro_1862/1862-02-10_p3_sn84023210_00202197656_1862021001_0368.json,1862,4,3,OTHER
2026-02-10T10:34:29.167Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1857/faro_1857/1857-07-23_p2_sn85040308_00514151362_1857072301_0530.json,1857,24,23,ADS_REPRO
2026-02-10T10:35:52.725Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1857/faro_1857/1857-11-21_p3_sn82015672_0029602191A_1857112101_0331.json,1857,45,44,ADS_REPRO
2026-02-10T10:38:34.549Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1878/faro_1878/1878-11-15_p3_sn87082573_00211101155_1878111501_0449.json,1878,25,24,ADS_REPRO
2026-02-10T10:48:07.962Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1870/faro_1870/1870-12-23_p4_sn84022644_00295867541_1870122301_0166.json,1870,20,19,ADS_REPRO
2026-02-10T10:54:26.854Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1907/faro_1907/1907-11-08_p1_sn84023416_00202197553_1907110801_0614.json,1907,15,14,OTHER
